Term,Definition,Ontology-Vocabulary mapping,Vocabulary (for Level 2),Examples,Status (person's initial or agreed),Source(s),Notes
adapted screenplay,"A screenplay adapted from another work e.g. movie remake, sequels, book, short story, theme park ride ",AdaptedScreenplay,,,Agreed 15Jun,,subclass of screenplay
theater,a building that contains auditoria for viewing movies,Theater (AA),insiders,,Agreed 15Jun,??,synonym of cinema
production company,"a business that creates movies, may be subsidiaries of a studio, can be separate legal entities, may also act as agents for artists",Company (AA),general,,Agreed 15Jun,https://en.wikipedia.org/wiki/Production_company,"synonyms production house, production studio, production team"
distribution company,The distribution company determines how many copies (prints) of the film to make. The distribution company shows the movie (screening) to prospective buyers representing the theaters. The buyers negotiate with the distribution company on which movies they wish to lease and the terms of the lease agreement.,Company (AA),general,,Agreed 15Jun,https://topsheet.io/blog/complete-guide-to-film-distribution,
film festival,"an organized, extended presentation of films in one or more cinemas or screening venues, may be virtual",FilmFestival,general,,Agreed 15Jun,EKGF DP,
distributor,   [SYNONYM of Distribution Company on line 27],Company (AA),,,Agreed 15Jun,,synonym of distribution company
franchise,   [SYNONYM of Series on line 34 - see Notes in Col H],Series (AA),"insiders, investors",,Agreed 15Jun,,"synonym for series; CE NOTE: if this term, Franchise, is a synonym for Series as indicated here, shouldn't the Vocabulary value in Col D for Franchise match the Vocabulary value in Col D for Series?"
story,"A story is the [description of] events that appear in a film and what we can infer from these events; aka narrative or plot
",Plot (AA),general,,Agreed 15Jun,https://www.elginisd.net/cms/lib6/TX01917830/Centricity/Domain/560/Film%20Terms%20Glossary.pdf,synonym of plot
region,"A geographical area, including countries, states, aggregations (such as EMEA)",Region (AA),,,Agreed 15Jun,EKGF DP,
theatrical release,"movie released in theaters (as opposed to streaming), provides eligibility for certain awards, helps marketing",Release,insiders,,Agreed 15Jun,2021 Theme Report p57,"CE Note: I found this definition: ""Theatrical is a slang term referring to a feature-length motion picture""  at this source: https://www.elginisd.net/cms/lib6/TX01917830/Centricity/Domain/560/Film%20Terms%20Glossary.pdf"
sequel,"follow up to a movie, possibly in a series",Movie (AA),general,,Agreed 15Jun,,
